Delta,Theta,Alpha,Beta,Gamma,Attention
40.11685142,-6.339027275,-9.646218508,-11.47696907,-12.8389124,3.80E+01
40.13354078,-6.279777298,-10.0596116,-11.37309103,-15.12259685,3.50E+01
40.14968347,-6.218628913,-10.45225522,-11.19287808,-16.39953713,4.10E+01
40.16525001,-6.155612999,-10.82105483,-10.92879687,-16.52123663,4.10E+01
40.18022793,-6.090740486,-11.16403077,-10.58246766,-15.49601659,4.40E+01
40.19463745,-6.023968395,-11.48162156,-10.15839889,-13.45938354,4.00E+01
40.20849257,-5.955271881,-11.7739215,-9.666399488,-10.64826614,5.60E+01
40.2218151,-5.88462779,-12.04147311,-9.1297235,-7.515193618,6.10E+01
40.2346227,-5.812013361,-12.28476503,-8.564486667,-4.42393754,6.10E+01
40.24689697,-5.737452197,-12.5021005,-7.969763956,-1.448288916,6.00E+01
40.2586233,-5.660959897,-12.69216051,-7.343059751,1.354109988,5.30E+01
40.26979504,-5.582529268,-12.8543815,-6.673600867,4.036867535,4.30E+01
40.28039065,-5.502181701,-12.98737586,-5.951084721,6.623429175,3.00E+01
40.29039041,-5.419956725,-13.0899721,-5.182415611,8.804597846,3.70E+01
40.29976437,-5.33590583,-13.16055219,-4.367794799,10.35915066,3.00E+01
40.30845903,-5.250114157,-13.19617505,-3.498683583,11.19466046,2.40E+01
40.31643619,-5.16264827,-13.19488735,-2.573940723,11.15324576,2.90E+01
40.32368626,-5.073522595,-13.15649905,-1.592406958,10.2163061,3.50E+01
40.3302066,-4.982745772,-13.08125924,-0.558407691,8.346264988,3.00E+01
40.33601629,-4.8903049,-12.97070973,0.508607083,5.357803752,5.10E+01
40.34113573,-4.796178305,-12.82654823,1.595122838,1.235541408,5.00E+01
40.34555852,-4.700378196,-12.64900834,2.701335659,-3.823095365,5.00E+01
40.34929609,-4.602889114,-12.43937884,3.823419245,-9.547203994,4.00E+01
40.35237998,-4.503657507,-12.20013446,4.958601528,-15.47649446,4.00E+01
40.35482913,-4.402655409,-11.93326435,6.10367002,-21.21525271,4.00E+01
40.35666007,-4.29987696,-11.64098933,7.2427604,-26.68234551,5.00E+01
